TicketID,Category,TicketText
91,Password Reset,"Password reset email not received."
92,Order Status,"Tracking missing for order #1616."
93,Refund Request,"Requesting refund for damaged item."
94,Technical Issue,"Login issues on app."
95,Account Deletion,"I want to remove my account."
96,Password Reset,"Forgot password, need reset."
97,Order Status,"Order #1818 delayed shipment."
98,Refund Request,"Wrong product sent, want refund."
99,Technical Issue,"Error message on profile update."
100,Account Deletion,"Please close my account."
101,Password Reset,"Password reset link expired."
102,Order Status,"Where is order #2020?"
103,Refund Request,"Requesting refund for faulty product."
104,Technical Issue,"App not responding."
105,Account Deletion,"Delete my data and account."
106,Password Reset,"Cannot reset password, link broken."
107,Order Status,"Order #2121 late delivery."
108,Refund Request,"Refund not received after return."
109,Technical Issue,"Website timeout errors."
110,Account Deletion,"Want to delete account permanently."
111,Password Reset,"Need help with password reset."
112,Order Status,"When will order #2323 arrive?"
113,Refund Request,"Received damaged item, want refund."
114,Technical Issue,"App crashes after update."
115,Account Deletion,"Please delete all my information."
116,Password Reset,"Reset email not received."
117,Order Status,"Order #2424 tracking delayed."
118,Refund Request,"Returned product, no refund yet."
119,Technical Issue,"Error on file upload."
120,Account Deletion,"Remove my profile data."
121,Password Reset,"Can't change my password."
122,Order Status,"Order #2525 stuck in transit."
123,Refund Request,"Want refund for wrong size."
124,Technical Issue,"Login button not responsive."
125,Account Deletion,"Delete my account immediately."
126,Password Reset,"Forgot password assistance."
127,Order Status,"Status update for order #2626?"
128,Refund Request,"Product defective, request refund."
129,Technical Issue,"Website slow loading."
130,Account Deletion,"Delete my data permanently."
131,Password Reset,"Password reset code expired."
132,Order Status,"Where is my order #2727?"
133,Refund Request,"Refund requested for faulty item."
134,Technical Issue,"App freezing during login."
135,Account Deletion,"Please delete my profile."
136,Password Reset,"Need to reset password urgently."
137,Order Status,"Order #2828 delayed."
138,Refund Request,"Received wrong item, want refund."
139,Technical Issue,"Error when uploading files."
140,Account Deletion,"Close my account ASAP."
141,Password Reset,"Cannot get reset email."
142,Order Status,"When will order #2929 arrive?"
143,Refund Request,"Returned product, no refund."
144,Technical Issue,"App crashes randomly."
145,Account Deletion,"Delete my account data."
146,Password Reset,"Help with password reset link."
147,Order Status,"Tracking info missing for order #3030."
148,Refund Request,"Requesting refund for damaged product."
149,Technical Issue,"Login issues with website."
150,Account Deletion,"Want to delete account now."
151,Password Reset,"Forgot my password."
152,Order Status,"Order #3131 late shipment."
153,Refund Request,"Wrong product sent, refund requested."
154,Technical Issue,"App not loading properly."
155,Account Deletion,"Delete my data and account."
156,Password Reset,"Password reset link expired."
157,Order Status,"Where is order #3232?"
158,Refund Request,"Refund requested for broken item."
159,Technical Issue,"Error 404 on profile page."
160,Account Deletion,"Please delete my profile data."
161,Password Reset,"Can't reset password."
162,Order Status,"Order #3333 delayed shipment."
163,Refund Request,"Product defective, want refund."
164,Technical Issue,"Website crashes during login."
165,Account Deletion,"Delete my account ASAP."
166,Password Reset,"Need help resetting password."
167,Order Status,"When will order #3434 arrive?"
168,Refund Request,"Returned item, refund not received."
169,Technical Issue,"App crashes on startup."
170,Account Deletion,"Close my account immediately."
171,Password Reset,"Reset email not received."
172,Order Status,"Order #3535 delayed."
173,Refund Request,"Requesting refund for wrong product."
174,Technical Issue,"Error message during upload."
175,Account Deletion,"Delete my data please."
176,Password Reset,"Password reset not working."
177,Order Status,"Where is order #3636?"
178,Refund Request,"Refund not processed after return."
179,Technical Issue,"Login button not working."
180,Account Deletion,"Want to delete my account."
181,Password Reset,"Forgot password, need help."
182,Order Status,"Order #3737 delayed shipment."
183,Refund Request,"Wrong item received, want refund."
184,Technical Issue,"App freezes on login."
185,Account Deletion,"Delete my profile and data."
186,Password Reset,"Need password reset link."
187,Order Status,"Tracking info missing for order #3838."
188,Refund Request,"Refund requested for defective product."
189,Technical Issue,"Website slow and unresponsive."
190,Account Deletion,"Close my account permanently."
191,Password Reset,"Password reset email expired."
192,Order Status,"When will order #3939 arrive?"
193,Refund Request,"Returned product, no refund received."
194,Technical Issue,"App crashes when opening."
195,Account Deletion,"Please remove my account."
196,Password Reset,"Reset link not working."
197,Order Status,"Order #4040 delayed."
198,Refund Request,"Requesting refund for broken item."
199,Technical Issue,"Error 500 on website."
200,Account Deletion,"Delete my account now."
